PlantName,PubMed ID,Activity,Targets,Paper Title
"	Dorema ammoniacum",,antibacterial,Bacillus cereus,Evaluation of the Antimicrobial Activity of Ammoniacum Gum from Dorema ammoniacum
"	Dorema ammoniacum",,antibacterial,Bacillus pumilus,Evaluation of the Antimicrobial Activity of Ammoniacum Gum from Dorema ammoniacum
"	Dorema ammoniacum",,antibacterial,Bacillus subtilis,Evaluation of the Antimicrobial Activity of Ammoniacum Gum from Dorema ammoniacum
"	Dorema ammoniacum",,antibacterial,Micrococcus luteus,Evaluation of the Antimicrobial Activity of Ammoniacum Gum from Dorema ammoniacum
"	Dorema ammoniacum",,antibacterial,Staphylococcus epidermidis,Evaluation of the Antimicrobial Activity of Ammoniacum Gum from Dorema ammoniacum
"	Dorema ammoniacum",,antibacterial,Staphylococcus aureus,Evaluation of the Antimicrobial Activity of Ammoniacum Gum from Dorema ammoniacum
"	Dorema ammoniacum",,antibacterial,Streptococcus faecalis,Evaluation of the Antimicrobial Activity of Ammoniacum Gum from Dorema ammoniacum
"	Dorema ammoniacum",,antibacterial,Bordetella bronchiseptica,Evaluation of the Antimicrobial Activity of Ammoniacum Gum from Dorema ammoniacum
"	Dorema ammoniacum",,antifungal,Saccharomyces cerevisiae,Evaluation of the Antimicrobial Activity of Ammoniacum Gum from Dorema ammoniacum
"	Dorema ammoniacum",,antifungal,Aspergillus niger,
"	Hypericum perforatum",23351780,urease inhibitory,urea amidohydrolases,
"	Jasonia montana",8441785,antibacterial,Bacillus subtilis,
"	Jasonia montana",8441785,antifungal,Trichophyton mentagrophytes,
"	Jasonia montana",8441785,antifungal,Cryptococcus neoformans,
"	Jasonia montana",8441785,antifungal,Candida albicans,
"	Olea europea",23351780,urease inhibitory,urea amidohydrolases,
"	Salvia hydrangea",23351780,urease inhibitory,urea amidohydrolases,
Abies webbiana,16678369,antibacterial,Micrococcus luteus,
Abies webbiana,16678369,antibacterial,Streptococcus faecalis,
Abuta grandifolia,16713157,anti-malarial,Plasmodium falciparum,
Acacia catechu,15476301,antibacterial,Salmonella typhi,
Acacia farnesiana,16713157,anti-malarial,Plasmodium falciparum,
Acacia nilotica,15476301,antibacterial,Salmonella typhi,
Acalypha indica,10433484,antibacterial,Aeromonas hydrophilla,
Acalypha indica,10433484,antibacterial,Bacillus cerues,
Acalypha indica,20571171,Anti-mycobacterial,DKU-156,
Acalypha indica,,antivenom,Viper russelli,Anti-snake venom properties of medicinal plants
Acanthospermum hispidum,12684889,Antiprotozoal,Plasmodium falciparum,
Achillea clavennae,14595583,antibacterial,Pseudomonas aeruginosa,
Achillea clavennae,14595583,antifungal,Aspergillus niger,
Achillea clavennae,14595583,antifungal,Aspergillus fumigatus,
Achillea clavennae,14595583,antifungal,Candida albicans,
Achillea clavennae,14595583,antibacterial,Klebsiella pneumoniae,
Achillea distans,21815436,antibacterial,Staphylococcus aureus,
Achillea distans,21815436,antibacterial,Candida albicans,
Achillea fragrantissima,19666102,antiviral,poliomyelitis-1 virus,
Achillea fragrantissima,22018032,Anti-neuroinflammatory,,
Acnistus arborescens,16713157,anti-malarial,Plasmodium falciparum,
Adansonia digitata,,antiviral,Herpes Simplex Virus,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Adhatoda vasica,20571171,Anti-mycobacterial,DKU-156,
