INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,INCHIKEY,SMILES,INCHI_STRING,MOLECULAR_FORMULA,MONOISOTOPIC_MASS,QC_LEVEL,EXPOCAST_MEDIAN_EXPOSURE_PREDICTION_MG/KG-BW/DAY,EXPOCAST,NHANES,TOXVAL_DATA,TOXCAST_PERCENT_ACTIVE,TOXCAST_NUMBER_OF_ASSAYS/TOTAL,MS_READY_SMILES,QSAR_READY_SMILES,NUMBER_OF_PUBMED_ARTICLES,PUBCHEM_DATA_SOURCES,CPDAT_COUNT,IRIS_LINK,PPRTV_LINK,WIKIPEDIA_ARTICLE,QC_NOTES,ACTOR_REPORT,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
MMKMIFKDPPAMLJ-HKXIBARLSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
XAGSLRSAFBKTKC-ZESOYMIXSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RZEQJINQXOBMCE-ORYXKJSJSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZQGOPIYRGSTAIY-ZLADREHTSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WDPOSGHOPLVDQK-MQEWLLHDSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IGQMRYUGGMTLIC-KCEXQJOMSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SCNKDAJBBGDFOB-YKGSUCIHSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LNTHITQWFMADLM-UHFFFAOYSA-N,InChIKey,DTXSID0020650,Gallic acid,LNTHITQWFMADLM-UHFFFAOYSA-N,OC(=O)C1=CC(O)=C(O)C(O)=C1,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",C7H6O5,170.0215233,DSSTox_Low,2.66E-07,Y,-,Y,19.57,46/235,OC(=O)C1=CC(O)=C(O)C(O)=C1,OC(=O)C1=CC(O)=C(O)C(O)=C1,3082,237,9,-,-,Y,-,Y,0.516416,340.003,0.000337287,1.621,0.319,0.000451856,219.763,234.958,0.143,0.0164059,-,-,0.00184502,-,2.54097E-07,0.0756833,3.67045E-12,4.82766,11.4824,304.082,4.22937E-11,0.10897,8.18129,58.9846,0.69942,186.569,3.4417E-09,0.069363
SOSLMHZOJATCCP-AEIZVZFYSA-N,InChIKey,DTXSID50197459,Afzelin,SOSLMHZOJATCCP-AEIZVZFYSA-N,C[C@@H]1O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O,"InChI=1S/C21H20O10/c1-8-15(25)17(27)18(28)21(29-8)31-20-16(26)14-12(24)6-11(23)7-13(14)30-19(20)9-2-4-10(22)5-3-9/h2-8,15,17-18,21-25,27-28H,1H3/t8-,15-,17+,18+,21-/m0/s1",C21H20O10,432.1056468,Public_Medium,-,-,-,-,-,-,CC1OC(OC2=C(Oc3cc(O)cc(O)c3C2=O)c2ccc(O)cc2)C(O)C(O)C1O,CC1OC(OC2=C(Oc3cc(O)cc(O)c3C2=O)c2ccc(O)cc2)C(O)C(O)C1O,16,61,-,-,-,Y,Loaded based on no conflicts with this data in chemid and pubchem,Y,17.9473,605.567,4.27563E-05,1.771,0.613,1.79887E-06,333.104,228.981,0.383,0.00385478,-,-,-,-,3.1842E-13,0.00217771,1.76377E-11,5.53867,87.7565,379.765,1.46747E-11,0.308578,9.53028,106.297,1.53657,200.633,1.99124E-09,0.00549161
DCYOADKBABEMIQ-UHFFFAOYSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OXGUCUVFOIWWQJ-HQBVPOQASA-N,InChIKey,DTXSID50200230,Quercitrin,OXGUCUVFOIWWQJ-HQBVPOQASA-N,C[C@@H]1O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O,"InChI=1S/C21H20O11/c1-7-15(26)17(28)18(29)21(30-7)32-20-16(27)14-12(25)5-9(22)6-13(14)31-19(20)8-2-3-10(23)11(24)4-8/h2-7,15,17-18,21-26,28-29H,1H3/t7-,15-,17+,18+,21-/m0/s1",C21H20O11,448.1005615,Public_Medium,-,-,-,-,-,-,CC1OC(OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC(O)=C(O)C=C2)C(O)C(O)C1O,CC1OC(OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC(O)=C(O)C=C2)C(O)C(O)C1O,224,105,-,-,-,Y,Loaded based on no conflicts with this data in chemid and pubchem,Y,18.4502,651.998,0.000031989,1.839,0.586,8.57038E-07,342.938,244.868,0.519,0.00371535,-,-,-,-,7.72681E-14,0.00277332,1.76564E-11,2.29707,143.728,372.831,1.58596E-11,0.315261,9.55571,115.851,1.62054,170.032,1.75157E-09,0.00896699
LOMXQCXSNSCLNP-BDOJHUBJSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OLBNOBQOQZRLMP-UHFFFAOYSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
