INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,DTXCID,CASRN,IUPAC_NAME,QSAR_READY_SMILES,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED
MMKMIFKDPPAMLJ-HKXIBARLSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
XAGSLRSAFBKTKC-ZESOYMIXSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RZEQJINQXOBMCE-ORYXKJSJSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZQGOPIYRGSTAIY-ZLADREHTSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WDPOSGHOPLVDQK-MQEWLLHDSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IGQMRYUGGMTLIC-KCEXQJOMSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SCNKDAJBBGDFOB-YKGSUCIHSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LNTHITQWFMADLM-UHFFFAOYSA-N,InChIKey,DTXSID0020650,Gallic acid,DTXCID60650,149-91-7,"3,4,5-Trihydroxybenzoic acid",OC(=O)C1=CC(O)=C(O)C(O)=C1,0.516416,340.003,0.000337287,1.621,0.319,0.000451856,219.763,234.958,0.143,0.0164059,-,-,0.00184502,-,2.54E-07,0.0756833
SOSLMHZOJATCCP-AEIZVZFYSA-N,InChIKey,DTXSID50197459,Afzelin,DTXCID10119950,482-39-3,"5,7-Dihydroxy-2-(4-hydroxyphenyl)-4-oxo-4H-1-benzopyran-3-yl 6-deoxy-alpha-L-mannopyranoside",CC1OC(OC2=C(Oc3cc(O)cc(O)c3C2=O)c2ccc(O)cc2)C(O)C(O)C1O,17.9473,605.567,4.28E-05,1.771,0.613,1.80E-06,333.104,228.981,0.383,0.00385478,-,-,-,-,3.18E-13,0.00217771
DCYOADKBABEMIQ-UHFFFAOYSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OXGUCUVFOIWWQJ-HQBVPOQASA-N,InChIKey,DTXSID50200230,Quercitrin,DTXCID50122721,522-12-3,"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-1-benzopyran-3-yl 6-deoxy-alpha-L-mannopyranoside",CC1OC(OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC(O)=C(O)C=C2)C(O)C(O)C1O,18.4502,651.998,3.20E-05,1.839,0.586,8.57E-07,342.938,244.868,0.519,0.00371535,-,-,-,-,7.73E-14,0.00277332
LOMXQCXSNSCLNP-BDOJHUBJSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OLBNOBQOQZRLMP-UHFFFAOYSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KZJWDPNRJALLNS-VJSFXXLFSA-N,InChIKey,DTXSID5022481,beta-Sitosterol,DTXCID802481,83-46-5,Stigmast-5-en-3beta-ol,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,785.236,408.379,9.18E-07,0.899,0.963,1.40E-07,213.344,128.118,0.226,0.00215774,37.034,-,-,-,3.06E-08,1.39E-07
FBUBVLUPUDBFME-UHFFFAOYSA-N,InChIKey,DTXSID10237981,Xanthoxyline,DTXCID60160472,90-24-4,"1-(2-Hydroxy-4,6-dimethoxyphenyl)ethan-1-one",COC1=CC(O)=C(C(C)=O)C(OC)=C1,5.188,301.686,7.76E-05,1.158,0.505,0.000243781,126.833,67.535,0.432,-,-,153.451,0.000516416,8.87156,0.000160325,0.0147571
NPJICTMALKLTFW-OFUAXYCQSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RHMXXJGYXNZAPX-UHFFFAOYSA-N,InChIKey,DTXSID5025231,Emodin,DTXCID205231,518-82-1,"1,3,8-Trihydroxy-6-methylanthracene-9,10-dione",CC1=CC(O)=C2C(=O)C3=C(O)C=C(O)C=C3C(=O)C2=C1,14.1906,430.427,1.76E-05,1.584,0.804,3.49E-06,281.213,253.196,0.868,0.00430527,-,-,5.93E-05,-,3.61E-11,1.03E-05
LNTHITQWFMADLM-UHFFFAOYSA-N,InChIKey,DTXSID0020650,Gallic acid,DTXCID60650,149-91-7,"3,4,5-Trihydroxybenzoic acid",OC(=O)C1=CC(O)=C(O)C(O)=C1,0.516416,340.003,0.000337287,1.621,0.319,0.000451856,219.763,234.958,0.143,0.0164059,-,-,0.00184502,-,2.54E-07,0.0756833
XEVQXKKKAVVSMW-WRWORJQWSA-N,InChIKey,DTXSID501019112,Loliolide,DTXCID801477117,2/6/5989,"(6S,7aR)-6-Hydroxy-4,4,7a-trimethyl-5,6,7,7a-tetrahydro-1-benzofuran-2(4H)-one",CC12CC(O)CC(C)(C)C1=CC(=O)O2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PVNIIMVLHYAWGP-UHFFFAOYSA-N,InChIKey,DTXSID1020932,Nicotinic acid,DTXCID10932,59-67-6,Pyridine-3-carboxylic acid,OC(=O)C1=CC=CN=C1,1.04954,270.082,0.0016788,1.313,0.331,0.00270396,131.368,112.706,-0.032,0.0104954,-,-,0.0097051,-,0.000467735,0.177419
YQUVCSBJEUQKSH-UHFFFAOYSA-N,InChIKey,DTXSID4021212,"3,4-Dihydroxybenzoic acid",DTXCID601212,99-50-3,"3,4-Dihydroxybenzoic acid",OC(=O)C1=CC(O)=C(O)C=C1,1.05196,312.949,0.000327341,1.519,0.46,0.000542001,199.12,210.327,0.148,0.0136773,-,-,0.00377572,-,3.08E-06,0.0716143
IKGXIBQEEMLURG-NVPNHPEKSA-N,InChIKey,DTXSID3022326,Rutin,DTXCID802326,153-18-4,"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-1-benzopyran-3-yl 6-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranoside",CC1OC(OCC2OC(OC3=C(OC4=C(C(O)=CC(O)=C4)C3=O)C3=CC(O)=C(O)C=C3)C(O)C(O)C2O)C(O)C(O)C1O,-,803.95,9.08E-05,1.956,0.717,-,412.333,273.347,0.029,0.00537032,-,-,-,-,1.37E-17,0.0180717
KDYFGRWQOYBRFD-UHFFFAOYSA-N,InChIKey,DTXSID6023602,Butanedioic acid,DTXCID303602,110-15-6,Butanedioic acid,OC(=O)CCC(O)=O,0.299916,279.143,0.00218273,1.39,0.771,0.002208,156.05,134.428,0.095,0.0262422,31.197,164.183,0.00977237,6.35331,2.99E-05,0.72277
CWONGSUNXBJOMK-LRWUGFCWSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RKJINRNUBWMUAP-MUODCDDXSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JYQWZASHCQTVLM-AQYGZFFOSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IXWXQMCMUKDVFM-UHFFFAOYSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WPPVSYVQAKQNJK-UHFFFAOYSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGIKFWJEQGLTBM-UHFFFAOYSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JWGLVEFPXSKNBN-UHFFFAOYSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CSMMFGCGBLZIJE-BQYQJAHWSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
