,Compoundid,phytochemical
0,[],alkaloids
1,[Compound(102598805)],floramanoside A
2,[Compound(102598806)],floramanoside B
3,[Compound(71492467)],floramanoside C
4,[Compound(102598807)],floramanoside D
5,[Compound(102598808)],floramanoside E
6,[Compound(102598809)],floramanoside F
7,[],Alkaloid
8,[Compound(44259633)],europetin 3-rhamnoside
9,[Compound(370)],gallic acid
10,[Compound(5316673)],kaempferol 3-rhamnoside
11,[Compound(5352000)],myricetin 3-rhamnoside
12,[Compound(5280459)],quercetin 3-rhamnoside
13,[Compound(44259592)],rhamnetin 3-rhamnoside
14,[Compound(68262)],"2,6-dimethoxy-1,4-benzoquinone"
15,[Compound(222284)],beta-sitosterol
16,[Compound(66654)],brevifolin
17,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol 
18,[Compound(3220)],emodin
19,[Compound(370)],gallic acid
20,[Compound(100332)],loliolide
21,[Compound(938)],nicotinic acid
22,[Compound(72)],protocatechuic acid
23,[Compound(5280805)],rutin
24,[Compound(1110)],succinic acid
25,[Compound(132494164)],brachyposide A
26,[Compound(132494166)],brachyposide B
27,[Compound(21607574)],ciwujianoside A
28,[],nipponoside D
29,[Compound(180932)],palmatoside E
30,[],tabguticoside A
31,[],acanjaposide A
32,[],acanjaposide B
33,[],acanjaposide C
34,[],nipponoside E
35,[],Sesquiterpene lactone
36,[Compound(100197)],artemisia alcohol
37,[Compound(524254)],Artemisyl acetate
38,[Compound(519843)],santolina alcohol
39,[],Terpene-alcohol
40,[Compound(5315406)],yomogi alcohol
41,[Compound(2758)],"1,8-cineole"
42,"[Compound(6448), Compound(93009), Compound(442460), Compound(6950274), Compound(443131), Compound(3034424), Compound(12097317), Compound(44630108), Compound(57505377)]",bornyl acetate
43,[Compound(2537)],camphor
44,[Compound(442463)],chrysanthenone
45,[Compound(527032)],cis-chrysanthenol
46,[],oxygenated monoterpene
47,"[Compound(94147), Compound(42626428), Compound(564260), Compound(12315159)]",sabinol
48,[Compound(11230)],terpinen-4-ol
49,[],?-sesquiphellandrene
50,[],?-thujone
51,[Compound(2758)],"1,8-cineol"
52,[Compound(5281522)],beta-caryophyllen
53,[Compound(2537)],camphor
54,[Compound(6549)],linalool
55,[Compound(31253)],myrcene
56,[Compound(2758)],"1,8-cineole"
57,[],"7-hydroxy-6,7-dihydro-5,6E-dehydronerolidol"
58,[Compound(261491)],alpha-thujone
59,[],bejarol
60,[Compound(91456)],beta-thujone
61,[],cabreuva oxides A
62,[],cabreuva oxides B
63,[],cabreuva oxides C
64,[],cabreuva oxides D
65,[Compound(2537)],camphor
66,"[Compound(445070), Compound(3327), Compound(1549107), Compound(1549109)]",Farnesol
67,[Compound(91747439)],isohumbertiol A
68,[Compound(91747440)],isohumbertiol B
69,[Compound(91747441)],isohumbertiol C
70,[Compound(91747442)],isohumbertiol D
71,"[Compound(5284507), Compound(8888), Compound(5281525), Compound(5356544), Compound(5320128), Compound(11241545)]",nerolidol
72,[Compound(2758)],"1,8-cineole"
73,"[Compound(15934381), Compound(5318916), Compound(137357), Compound(73102746), Compound(86577299), Compound(102113807), Compound(129316993), Compound(146160055)]",alismol
74,[Compound(10398656)],alpha-cadinol
75,[Compound(14896)],beta-pinene
76,"[Compound(64685), Compound(1201518), Compound(6552009), Compound(10492), Compound(657014), Compound(6321405), Compound(10049), Compound(44630107), Compound(439569)]",borneol
77,[Compound(2537)],camphor
78,[Compound(1742210)],caryophyllene oxide
79,[Compound(18818)],sabinene
80,[Compound(160799)],tau-cadinol
81,[Compound(91456)],trans-thujone
82,[],3-non-anol
83,[Compound(100197)],artemisia alcohol
84,[Compound(68346)],artemisia ketone
85,[Compound(10364)],carvacrol
86,[Compound(249286)],cis-thujone
87,[],d-myrcene
88,[Compound(246728)],ethyl n-amylketone
89,[Compound(3314)],eugenol
90,[Compound(443158)],l-linalool
91,[Compound(643820)],nerol
92,[],n-hexen(3)-ol(1)
93,[Compound(18818)],sabinene
94,[Compound(519843)],santolina alcohol
95,[Compound(91456)],trans-thujone
96,[],?-pinene
97,[],?-terpineol
98,[],3'-methoxy luteolin
99,[],"5- hydroxy 3', 4', 6, 7-tetra methoxy flavone"
100,"[Compound(101324773), Compound(131752003)]",achillicin
101,[Compound(101805792)],Achillinin A
102,[Compound(5280443)],Apigenin
103,"[Compound(5280704), Compound(44257792), Compound(5385553)]",Apigenin 7-O-glucoside
104,[Compound(5315773)],Centaureidin
105,[Compound(5280704)],Cosmosiin
106,[Compound(5280637)],Cynaroside
107,[],fatty acids
108,[Compound(5281616)],Galangin
109,"[Compound(443013), Compound(4865)]",lignans
110,[],Lueolin
111,[Compound(5280637)],Luteolin 7-O-glucoside
112,[],p-hydroxyphenethylamide
113,[],proazulene
114,[Compound(5280343)],Quercetin
115,[Compound(161271)],Salvigenin
116,[Compound(2758)],"1,8-cineole"
117,[Compound(6432285)],fragranol
118,[],fragranyl acetate
119,[],terpin-4-ol
120,[Compound(91456)],beta-thujone
121,[Compound(2537)],camphor
122,[],"1,8 cineole"
123,[Compound(6654)],alpha pinene
124,[Compound(21585034)],caranol
125,"[Compound(94403), Compound(638500), Compound(1551479)]",farnesyl acetate
126,[Compound(7463)],p-cymene
127,[Compound(102086529)],ouvrardiandine A
128,[Compound(102086530)],ouvrardiandine B
129,[Compound(102086528)],ouvrardiantine
130,[],racemulotine
131,"[Compound(5281279), Compound(441743), Compound(115161), Compound(90479327), Compound(3886), Compound(16464737), Compound(16667701), Compound(23010488), Compound(6917827), Compound(9896038), Compound(13506969), Compound(13506986), Compound(126969084), Compound(134688676), Compound(146158604)]",lappaconitine
132,"[Compound(20056254), Compound(98055304), Compound(494475), Compound(78358494), Compound(102004661), Compound(54607996), Compound(146157011)]",ranaconitine
133,[],sinomontanine A
134,[],sinomontanine B
135,[],sinomontanine C
136,[],sinomontanitine A
137,[],sinomontanitine B
138,[Compound(70698132)],(2R)-pterosin P
139,[Compound(54672170)],"(2R,3S)-sulfated pterosin C"
140,[Compound(186209)],"(2S,3S)-pterosin C"
141,[Compound(54669844)],"(2S,3S)-sulfated pterosin C"
142,[],25-anhydrocimigenol-beta-O-D-xyloside
143,[],25-O-acetylcimigenol-3-beta-O-D-xyloside
144,"[Compound(16091662), Compound(73240838)]",25-O-ethylcimigenol-3-O-beta-D-xylopyranoside
145,"[Compound(45356919), Compound(24825675), Compound(161823), Compound(73415765), Compound(146158669)]",asiaticoside A
