Phytochemical,PlantName,PubMed Id
alkaloids,"	Quisqualis indica",22536985
floramanoside A,Abelmouschus manihot,22407440
floramanoside B,Abelmouschus manihot,22407440
floramanoside C,Abelmouschus manihot,22407440
floramanoside D,Abelmouschus manihot,22407440
floramanoside E,Abelmouschus manihot,22407440
floramanoside F,Abelmouschus manihot,22407440
Alkaloid,Acacia auriculiformis,21306653
europetin 3-rhamnoside,Acacia confusa,18163556
gallic acid,Acacia confusa,18163556
kaempferol 3-rhamnoside,Acacia confusa,18163556
myricetin 3-rhamnoside,Acacia confusa,18163556
quercetin 3-rhamnoside,Acacia confusa,18163556
rhamnetin 3-rhamnoside,Acacia confusa,18163556
"2,6-dimethoxy-1,4-benzoquinone",Acalypha australis,18837345
beta-sitosterol,Acalypha australis,18837345
brevifolin,Acalypha australis,18837345
daucosterol ,Acalypha australis,18837345
emodin,Acalypha australis,18837345
gallic acid,Acalypha australis,18837345
loliolide,Acalypha australis,18837345
nicotinic acid,Acalypha australis,18837345
protocatechuic acid,Acalypha australis,18837345
rutin,Acalypha australis,18837345
succinic acid,Acalypha australis,18837345
brachyposide A,Acanthopanax brachypus,19721265
brachyposide B,Acanthopanax brachypus,19721265
ciwujianoside A,Acanthopanax brachypus,19721265
nipponoside D,Acanthopanax brachypus,19721265
palmatoside E,Acanthopanax brachypus,19721265
tabguticoside A,Acanthopanax brachypus,19721265
acanjaposide A,Acanthopanax japonicus,11830152
acanjaposide B,Acanthopanax japonicus,11830152
acanjaposide C,Acanthopanax japonicus,11830152
nipponoside E,Acanthopanax japonicus,11830152
Sesquiterpene lactone,Acanthospermum hispidum,19320966
artemisia alcohol,Achillea ageratum,22422527
Artemisyl acetate,Achillea ageratum,22422527
santolina alcohol,Achillea ageratum,22422527
Terpene-alcohol,Achillea ageratum,22422527
yomogi alcohol,Achillea ageratum,22422527
"1,8-cineole",Achillea cartilaginea,22011043
bornyl acetate,Achillea cartilaginea,22011043
camphor,Achillea cartilaginea,22011043
chrysanthenone,Achillea cartilaginea,22011043
cis-chrysanthenol,Achillea cartilaginea,22011043
oxygenated monoterpene,Achillea cartilaginea,22011043
sabinol,Achillea cartilaginea,22011043
terpinen-4-ol,Achillea cartilaginea,22011043
?-sesquiphellandrene,Achillea cartilaginea,22011043
?-thujone,Achillea cartilaginea,22011043
"1,8-cineol",Achillea clavennae,14595583
beta-caryophyllen,Achillea clavennae,14595583
camphor,Achillea clavennae,14595583
linalool,Achillea clavennae,14595583
myrcene,Achillea clavennae,14595583
"1,8-cineole",Achillea clusiana,20184037
"7-hydroxy-6,7-dihydro-5,6E-dehydronerolidol",Achillea clusiana,20184037
alpha-thujone,Achillea clusiana,20184037
bejarol,Achillea clusiana,20184037
beta-thujone,Achillea clusiana,20184037
cabreuva oxides A,Achillea clusiana,20184037
cabreuva oxides B,Achillea clusiana,20184037
cabreuva oxides C,Achillea clusiana,20184037
cabreuva oxides D,Achillea clusiana,20184037
camphor,Achillea clusiana,20184037
Farnesol,Achillea clusiana,20184037
isohumbertiol A,Achillea clusiana,20184037
isohumbertiol B,Achillea clusiana,20184037
isohumbertiol C,Achillea clusiana,20184037
isohumbertiol D,Achillea clusiana,20184037
nerolidol,Achillea clusiana,20184037
"1,8-cineole",Achillea distans,21815436
alismol,Achillea distans,20432153
alpha-cadinol,Achillea distans,20432153
beta-pinene,Achillea distans,21815436
borneol,Achillea distans,21815436
camphor,Achillea distans,21815436
caryophyllene oxide,Achillea distans,20432153
sabinene,Achillea distans,21815436
tau-cadinol,Achillea distans,20432153
trans-thujone,Achillea distans,21815436
3-non-anol,Achillea fragrantissima,14255131
artemisia alcohol,Achillea fragrantissima,15074599
artemisia ketone,Achillea fragrantissima,15074599
carvacrol,Achillea fragrantissima,14255131
cis-thujone,Achillea fragrantissima,15074599
d-myrcene,Achillea fragrantissima,14255131
ethyl n-amylketone,Achillea fragrantissima,14255131
eugenol,Achillea fragrantissima,14255131
l-linalool,Achillea fragrantissima,14255131
nerol,Achillea fragrantissima,14255131
n-hexen(3)-ol(1),Achillea fragrantissima,14255131
sabinene,Achillea fragrantissima,14255131
santolina alcohol,Achillea fragrantissima,15074599
trans-thujone,Achillea fragrantissima,15074599
?-pinene,Achillea fragrantissima,14255131
?-terpineol,Achillea fragrantissima,14255131
3'-methoxy luteolin,Achillea millefolium,1195115
"5- hydroxy 3', 4', 6, 7-tetra methoxy flavone",Achillea millefolium,1195115
achillicin,Achillea millefolium,22615655
Achillinin A,Achillea millefolium,21821943
Apigenin,Achillea millefolium,1195115
Apigenin 7-O-glucoside,Achillea millefolium,1195115
Centaureidin,Achillea millefolium,1195115
Cosmosiin,Achillea millefolium,1195115
Cynaroside,Achillea millefolium,1195115
fatty acids,Achillea millefolium,22615655
Galangin,Achillea millefolium,1195115
lignans,Achillea millefolium,22615655
Lueolin,Achillea millefolium,1195115
Luteolin 7-O-glucoside,Achillea millefolium,1195115
p-hydroxyphenethylamide,Achillea millefolium,22615655
proazulene,Achillea millefolium,22615655
Quercetin,Achillea millefolium,1195115
Salvigenin,Achillea millefolium,1195115
"1,8-cineole",Achillea santolina,15074599
fragranol,Achillea santolina,15074599
fragranyl acetate,Achillea santolina,15074599
terpin-4-ol,Achillea santolina,15074599
beta-thujone,Achillea umbellata,19235027
camphor,Achillea umbellata,19235027
