"","FOUND_BY","PREFERRED_NAME","INCHIKEY","SMILES","INCHI_STRING","MOLECULAR_FORMULA","MONOISOTOPIC_MASS","MS_READY_SMILES","QSAR_READY_SMILES","BIOCONCENTRATION_FACTOR_TEST_PRED","BOILING_POINT_DEGC_TEST_PRED","X48HR_DAPHNIA_LC50_MOL.L_TEST_PRED","DENSITY_G.CM.3_TEST_PRED","DEVTOX_TEST_PRED","X96HR_FATHEAD_MINNOW_MOL.L_TEST_PRED","FLASH_POINT_DEGC_TEST_PRED","MELTING_POINT_DEGC_TEST_PRED","AMES_MUTAGENICITY_TEST_PRED","ORAL_RAT_LD50_MOL.KG_TEST_PRED","SURFACE_TENSION_DYN.CM_TEST_PRED","THERMAL_CONDUCTIVITY_MW..M.K._TEST_PRED","TETRAHYMENA_PYRIFORMIS_IGC50_MOL.L_TEST_PRED","VISCOSITY_CP_CP_TEST_PRED","VAPOR_PRESSURE_MMHG_TEST_PRED","WATER_SOLUBILITY_MOL.L_TEST_PRED","ATMOSPHERIC_HYDROXYLATION_RATE_.AOH._CM3.MOLECULE.SEC_OPERA_PRED","BIOCONCENTRATION_FACTOR_OPERA_PRED","BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED","BOILING_POINT_DEGC_OPERA_PRED","HENRYS_LAW_ATM.M3.MOLE_OPERA_PRED","OPERA_KM_DAYS_OPERA_PRED","OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED","SOIL_ADSORPTION_COEFFICIENT_KOC_L.KG_OPERA_PRED","OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED","MELTING_POINT_DEGC_OPERA_PRED","VAPOR_PRESSURE_MMHG_OPERA_PRED","WATER_SOLUBILITY_MOL.L_OPERA_PRED","atom_stereo_count","bond_stereo_count","canonical_smiles","charge","cid","complexity","covalent_unit_count","defined_atom_stereo_count","defined_bond_stereo_count","exact_mass","h_bond_acceptor_count","h_bond_donor_count","heavy_atom_count","inchi","isomeric_smiles","iupac_name","molecular_formula","molecular_weight","monoisotopic_mass","rotatable_bond_count","tpsa","undefined_atom_stereo_count","undefined_bond_stereo_count","xlogp"
"1","InChIKey","Gallic acid","LNTHITQWFMADLM-UHFFFAOYSA-N","OC(=O)C1=CC(O)=C(O)C(O)=C1","InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)","C7H6O5","170.0215233","OC(=O)C1=CC(O)=C(O)C(O)=C1","OC(=O)C1=CC(O)=C(O)C(O)=C1","0.516416","340.003","0.000337287","1.621","0.319","0.000451856","219.763","234.958","0.143","0.0164059","-","-","0.00184502","-","2.54097E-07","0.0756833","3.67045E-12","4.82766","11.4824","304.082","4.22937E-11","0.10897","8.18129","58.9846","0.69942","186.569","3.4417E-09","0.069363",0,0,"C1=C(C=C(C(=C1O)O)O)C(=O)O",0,370,169,1,0,0,170.02152329,5,4,12,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)","C1=C(C=C(C(=C1O)O)O)C(=O)O","3,4,5-trihydroxybenzoic acid","C7H6O5",170.12,170.02152329,1,98,0,0,0.7
"18","InChIKey","Afzelin","SOSLMHZOJATCCP-AEIZVZFYSA-N","C[C@@H]1O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O","InChI=1S/C21H20O10/c1-8-15(25)17(27)18(28)21(29-8)31-20-16(26)14-12(24)6-11(23)7-13(14)30-19(20)9-2-4-10(22)5-3-9/h2-8,15,17-18,21-25,27-28H,1H3/t8-,15-,17+,18+,21-/m0/s1","C21H20O10","432.1056468","CC1OC(OC2=C(Oc3cc(O)cc(O)c3C2=O)c2ccc(O)cc2)C(O)C(O)C1O","CC1OC(OC2=C(Oc3cc(O)cc(O)c3C2=O)c2ccc(O)cc2)C(O)C(O)C1O","17.9473","605.567","4.27563E-05","1.771","0.613","1.79887E-06","333.104","228.981","0.383","0.00385478","-","-","-","-","3.1842E-13","0.00217771","1.76377E-11","5.53867","87.7565","379.765","1.46747E-11","0.308578","9.53028","106.297","1.53657","200.633","1.99124E-09","0.00549161",5,0,"CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)O)O",0,5316673,702,1,5,0,432.10564684,10,6,31,"InChI=1S/C21H20O10/c1-8-15(25)17(27)18(28)21(29-8)31-20-16(26)14-12(24)6-11(23)7-13(14)30-19(20)9-2-4-10(22)5-3-9/h2-8,15,17-18,21-25,27-28H,1H3/t8-,15-,17+,18+,21-/m0/s1","C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)O)O","5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one","C21H20O10",432.4,432.10564684,3,166,0,0,1.2
"28","InChIKey","Quercitrin","OXGUCUVFOIWWQJ-HQBVPOQASA-N","C[C@@H]1O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O","InChI=1S/C21H20O11/c1-7-15(26)17(28)18(29)21(30-7)32-20-16(27)14-12(25)5-9(22)6-13(14)31-19(20)8-2-3-10(23)11(24)4-8/h2-7,15,17-18,21-26,28-29H,1H3/t7-,15-,17+,18+,21-/m0/s1","C21H20O11","448.1005615","CC1OC(OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC(O)=C(O)C=C2)C(O)C(O)C1O","CC1OC(OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC(O)=C(O)C=C2)C(O)C(O)C1O","18.4502","651.998","0.000031989","1.839","0.586","8.57038E-07","342.938","244.868","0.519","0.00371535","-","-","-","-","7.72681E-14","0.00277332","1.76564E-11","2.29707","143.728","372.831","1.58596E-11","0.315261","9.55571","115.851","1.62054","170.032","1.75157E-09","0.00896699",5,0,"CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O",0,5280459,741,1,5,0,448.10056146,11,7,32,"InChI=1S/C21H20O11/c1-7-15(26)17(28)18(29)21(30-7)32-20-16(27)14-12(25)5-9(22)6-13(14)31-19(20)8-2-3-10(23)11(24)4-8/h2-7,15,17-18,21-26,28-29H,1H3/t7-,15-,17+,18+,21-/m0/s1","C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O","2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one","C21H20O11",448.4,448.10056146,3,186,0,0,0.9
"43","InChIKey","beta-Sitosterol","KZJWDPNRJALLNS-VJSFXXLFSA-N","CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C","InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1","C29H50O","414.3861662","CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C","CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C","785.236","408.379","9.18333E-07","0.899","0.963","1.40281E-07","213.344","128.118","0.226","0.00215774","37.034","-","-","-","3.06196E-08","1.38676E-07","3.10916E-11","729.105","256.191","390.842","4.77227E-08","13.739","10.3464","58813.2","9.22714","143.458","1.88174E-08","2.91967E-06",9,0,"CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C",0,222284,634,1,9,0,414.38616623,1,1,30,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1","CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C","(3S,8S,9S,10R,13R,14S,17R)-17-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol","C29H50O",414.7,414.38616623,6,20.2,0,0,9.3
"133","InChIKey","Xanthoxyline","FBUBVLUPUDBFME-UHFFFAOYSA-N","COC1=CC(O)=C(C(C)=O)C(OC)=C1","InChI=1S/C10H12O4/c1-6(11)10-8(12)4-7(13-2)5-9(10)14-3/h4-5,12H,1-3H3","C10H12O4","196.0735589","COC1=CC(O)=C(C(C)=O)C(OC)=C1","COC1=CC(O)=C(C(C)=O)C(OC)=C1","5.188","301.686","7.76247E-05","1.158","0.505","0.000243781","126.833","67.535","0.432","-","-","153.451","0.000516416","8.87156","0.000160325","0.0147571","1.73118E-11","16.6856","4.9088","267.201","1.77683E-09","0.104571","8.55388","119.644","1.40791","81.9002","4.52794E-06","0.00947283",0,0,"CC(=O)C1=C(C=C(C=C1OC)OC)O",0,66654,204,1,0,0,196.07355887,4,1,14,"InChI=1S/C10H12O4/c1-6(11)10-8(12)4-7(13-2)5-9(10)14-3/h4-5,12H,1-3H3","CC(=O)C1=C(C=C(C=C1OC)OC)O","1-(2-hydroxy-4,6-dimethoxyphenyl)ethanone","C10H12O4",196.2,196.07355887,3,55.8,0,0,1.7
"134","InChIKey","Emodin","RHMXXJGYXNZAPX-UHFFFAOYSA-N","CC1=CC(O)=C2C(=O)C3=C(O)C=C(O)C=C3C(=O)C2=C1","InChI=1S/C15H10O5/c1-6-2-8-12(10(17)3-6)15(20)13-9(14(8)19)4-7(16)5-11(13)18/h2-5,16-18H,1H3","C15H10O5","270.0528234","CC1=CC(O)=C2C(=O)C3=C(O)C=C(O)C=C3C(=O)C2=C1","CC1=CC(O)=C2C(=O)C3=C(O)C=C(O)C=C3C(=O)C2=C1","14.1906","430.427","1.75792E-05","1.584","0.804","3.4914E-06","281.213","253.196","0.868","0.00430527","-","-","5.92925E-05","-","3.60579E-11","1.02565E-05","1.38378E-11","44.1797","44.5826","388.582","1.7692E-10","0.152879","9.24734","645.846","2.59042","256.995","8.34167E-10","2.00779E-05",0,0,"CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O",0,3220,434,1,0,0,270.05282342,5,3,20,"InChI=1S/C15H10O5/c1-6-2-8-12(10(17)3-6)15(20)13-9(14(8)19)4-7(16)5-11(13)18/h2-5,16-18H,1H3","CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O","1,3,8-trihydroxy-6-methylanthracene-9,10-dione","C15H10O5",270.24,270.05282342,0,94.8,0,0,2.7
"156","InChIKey","Loliolide","XEVQXKKKAVVSMW-WRWORJQWSA-N","C[C@@]12C[C@@H](O)CC(C)(C)C1=CC(=O)O2","InChI=1S/C11H16O3/c1-10(2)5-7(12)6-11(3)8(10)4-9(13)14-11/h4,7,12H,5-6H2,1-3H3/t7-,11+/m0/s1","C11H16O3","196.1099444","CC12CC(O)CC(C)(C)C1=CC(=O)O2","CC12CC(O)CC(C)(C)C1=CC(=O)O2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.69948E-11","2.91575","3.54154","293.341","8.69939E-10","0.356997","8.78264","196.137","0.747983","70.7562","7.67343E-06","0.396112",2,0,"CC1(CC(CC2(C1=CC(=O)O2)C)O)C",0,100332,317,1,2,0,196.10994437,3,1,14,"InChI=1S/C11H16O3/c1-10(2)5-7(12)6-11(3)8(10)4-9(13)14-11/h4,7,12H,5-6H2,1-3H3/t7-,11+/m0/s1","C[C@@]12C[C@H](CC(C1=CC(=O)O2)(C)C)O","(6S,7aR)-6-hydroxy-4,4,7a-trimethyl-6,7-dihydro-5H-1-benzofuran-2-one","C11H16O3",196.24,196.10994437,0,46.5,0,0,1
"157","InChIKey","Nicotinic acid","PVNIIMVLHYAWGP-UHFFFAOYSA-N","OC(=O)C1=CC=CN=C1","InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)","C6H5NO2","123.0320284","OC(=O)C1=CC=CN=C1","OC(=O)C1=CC=CN=C1","1.04954","270.082","0.0016788","1.313","0.331","0.00270396","131.368","112.706","-0.032","0.0104954","-","-","0.0097051","-","0.000467735","0.177419","1.55697E-11","4.12211","3.55028","255.833","9.18176E-09","0.262795","5.99479","76.025","0.357954","236.735","0.000779549","0.141828",0,0,"C1=CC(=CN=C1)C(=O)O",0,938,114,1,0,0,123.032028405,3,1,9,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)","C1=CC(=CN=C1)C(=O)O","pyridine-3-carboxylic acid","C6H5NO2",123.11,123.032028405,1,50.2,0,0,0.4
"159","InChIKey","3,4-Dihydroxybenzoic acid","YQUVCSBJEUQKSH-UHFFFAOYSA-N","OC(=O)C1=CC(O)=C(O)C=C1","InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)","C7H6O4","154.0266087","OC(=O)C1=CC(O)=C(O)C=C1","OC(=O)C1=CC(O)=C(O)C=C1","1.05196","312.949","0.000327341","1.519","0.46","0.000542001","199.12","210.327","0.148","0.0136773","-","-","0.00377572","-","3.0761E-06","0.0716143","3.67455E-12","5.37821","4.9147","239.449","1.18978E-10","0.109247","7.89129","51.3424","0.860561","157.178","9.9258E-06","0.0491093",0,0,"C1=CC(=C(C=C1C(=O)O)O)O",0,72,157,1,0,0,154.026608672,4,3,11,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)","C1=CC(=C(C=C1C(=O)O)O)O","3,4-dihydroxybenzoic acid","C7H6O4",154.12,154.026608672,1,77.8,0,0,1.1
"164","InChIKey","Rutin","IKGXIBQEEMLURG-NVPNHPEKSA-N","C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=C(C(O)=CC(O)=C4)C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O","InChI=1S/C27H30O16/c1-8-17(32)20(35)22(37)26(40-8)39-7-15-18(33)21(36)23(38)27(42-15)43-25-19(34)16-13(31)5-10(28)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3/t8-,15+,17-,18+,20+,21-,22+,23+,26+,27-/m0/s1","C27H30O16","610.1533849","CC1OC(OCC2OC(OC3=C(OC4=C(C(O)=CC(O)=C4)C3=O)C3=CC(O)=C(O)C=C3)C(O)C(O)C2O)C(O)C(O)C1O","CC1OC(OCC2OC(OC3=C(OC4=C(C(O)=CC(O)=C4)C3=O)C3=CC(O)=C(O)C=C3)C(O)C(O)C2O)C(O)C(O)C1O","-","803.95","9.07821E-05","1.956","0.717","-","412.333","273.347","0.029","0.00537032","-","-","-","-","1.37088E-17","0.0180717","2.50746E-11","3.8939","146.539","371.601","1.98072E-11","0.451518","9.60073","984.979","-0.134141","224.017","2.24773E-09","0.0333593",10,0,"CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O",0,5280805,1020,1,10,0,610.15338488,16,10,43,"InChI=1S/C27H30O16/c1-8-17(32)20(35)22(37)26(40-8)39-7-15-18(33)21(36)23(38)27(42-15)43-25-19(34)16-13(31)5-10(28)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3/t8-,15+,17-,18+,20+,21-,22+,23+,26+,27-/m0/s1","C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O","2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one","C27H30O16",610.5,610.15338488,6,266,0,0,-1.3
