"","chemicals"
"1","alkaloids"
"2","floramanoside A"
"3","floramanoside B"
"4","floramanoside C"
"5","floramanoside D"
"6","floramanoside E"
"7","floramanoside F"
"8","Alkaloid"
"9","europetin 3-rhamnoside"
"10","gallic acid"
"11","kaempferol 3-rhamnoside"
"12","myricetin 3-rhamnoside"
"13","quercetin 3-rhamnoside"
"14","rhamnetin 3-rhamnoside"
"15","2,6-dimethoxy-1,4-benzoquinone"
"16","beta-sitosterol"
"17","brevifolin"
"18","daucosterol "
"19","emodin"
"20","gallic acid"
"21","loliolide"
"22","nicotinic acid"
"23","protocatechuic acid"
"24","rutin"
"25","succinic acid"
"26","brachyposide A"
"27","brachyposide B"
"28","ciwujianoside A"
"29","nipponoside D"
"30","palmatoside E"
"31","tabguticoside A"
"32","acanjaposide A"
"33","acanjaposide B"
"34","acanjaposide C"
"35","nipponoside E"
"36","Sesquiterpene lactone"
"37","artemisia alcohol"
"38","Artemisyl acetate"
"39","santolina alcohol"
"40","Terpene-alcohol"
"41","yomogi alcohol"
"42","1,8-cineole"
"43","bornyl acetate"
"44","camphor"
"45","chrysanthenone"
"46","cis-chrysanthenol"
"47","oxygenated monoterpene"
"48","sabinol"
"49","terpinen-4-ol"
"50","?-sesquiphellandrene"
"51","?-thujone"
"52","1,8-cineol"
"53","beta-caryophyllen"
"54","camphor"
"55","linalool"
"56","myrcene"
"57","1,8-cineole"
"58","7-hydroxy-6,7-dihydro-5,6E-dehydronerolidol"
"59","alpha-thujone"
"60","bejarol"
"61","beta-thujone"
"62","cabreuva oxides A"
"63","cabreuva oxides B"
"64","cabreuva oxides C"
"65","cabreuva oxides D"
"66","camphor"
"67","Farnesol"
"68","isohumbertiol A"
"69","isohumbertiol B"
"70","isohumbertiol C"
"71","isohumbertiol D"
"72","nerolidol"
"73","1,8-cineole"
"74","alismol"
"75","alpha-cadinol"
"76","beta-pinene"
"77","borneol"
"78","camphor"
"79","caryophyllene oxide"
"80","sabinene"
"81","tau-cadinol"
"82","trans-thujone"
"83","3-non-anol"
"84","artemisia alcohol"
"85","artemisia ketone"
"86","carvacrol"
"87","cis-thujone"
"88","d-myrcene"
"89","ethyl n-amylketone"
"90","eugenol"
"91","l-linalool"
"92","nerol"
"93","n-hexen(3)-ol(1)"
"94","sabinene"
"95","santolina alcohol"
"96","trans-thujone"
"97","?-pinene"
"98","?-terpineol"
"99","3'-methoxy luteolin"
"100","5- hydroxy 3', 4', 6, 7-tetra methoxy flavone"
"101","achillicin"
"102","Achillinin A"
"103","Apigenin"
"104","Apigenin 7-O-glucoside"
"105","Centaureidin"
"106","Cosmosiin"
"107","Cynaroside"
"108","fatty acids"
"109","Galangin"
"110","lignans"
"111","Lueolin"
"112","Luteolin 7-O-glucoside"
"113","p-hydroxyphenethylamide"
"114","proazulene"
"115","Quercetin"
"116","Salvigenin"
"117","1,8-cineole"
"118","fragranol"
"119","fragranyl acetate"
"120","terpin-4-ol"
"121","beta-thujone"
"122","camphor"
"123","1,8 cineole"
"124","alpha pinene"
"125","caranol"
"126","farnesyl acetate"
"127","p-cymene"
"128","ouvrardiandine A"
"129","ouvrardiandine B"
"130","ouvrardiantine"
"131","racemulotine"
"132","lappaconitine"
"133","ranaconitine"
"134","sinomontanine A"
"135","sinomontanine B"
"136","sinomontanine C"
"137","sinomontanitine A"
"138","sinomontanitine B"
"139","(2R)-pterosin P"
"140","(2R,3S)-sulfated pterosin C"
"141","(2S,3S)-pterosin C"
"142","(2S,3S)-sulfated pterosin C"
"143","25-anhydrocimigenol-beta-O-D-xyloside"
"144","25-O-acetylcimigenol-3-beta-O-D-xyloside"
"145","25-O-ethylcimigenol-3-O-beta-D-xylopyranoside"
"146","asiaticoside A"
"147","asiaticoside B"
"148","cimiacemoside I"
"149","23-hydroxyursolic acid"
"150","2alpha-hydroxyoleanolic acid"
"151","2alpha-hydroxyursolic acid"
"152","3beta-O-acetylursolic acid"
"153","beta-steriol"
"154","ergosta4, 6, 8, (14), 22-tetraen-3-one"
"155","euscaphic acid"
"156","2alpha, 3alpha, 23-trihydroxy-urs-12-en-28-oic acid"
"157","2alpha, 3beta, 19, 23-tetrahydroxylolean-12-en-28-oic acid"
"158","2alpha, 3beta, 19,23-tetra-hydroxyl-urs-12-en-oic acid"
"159","beta-sitoserol"
"160","undecanoic acid"
"161","12-oleanene-2alpha, 3alpha, 24-triol"
"162","asiatic acid"
"163","beta-daucosterol"
"164","beta-sitosterol"
"165","catechin"
"166","epicatechin"
"167","isotachioside"
"168","ursolic acid"
"169","2alpha, 3alpha, 19alpha-trihydroxy-olean-12-en-28-oic acid-28-O-beta-D-glucopyranoside"
"170","arjunetin"
"171","arjunglucoside I"
"172","glucosyl tormentate"
"173","nigaichigoside F1"
"174","sericoside"
"175","alkaloids"
"176","beta-sitosterol"
"177","daucosterol"
"178","delta(5,22) stigmasterol"
"179","delta(5,22) stigmasterol-3-O-beta-D-glycopyranoside"
"180","hederagenin"
"181","oleanolic acid"
"182","1',2'-dehydrotubulosine"
"183","10-O-demethylcephaeline"
"184","2'-N-(1""-deoxy-1"" -beta-D-fructopyranosyl)cephaeline"
"185","alangine"
"186","alangiside"
"187","cephaeline"
"188","deoxytubulosine"
"189","isocephaeline"
"190","isotubulosine"
"191","neocephaeline"
"192","protoemetine"
"193","protoemetinol"
"194","psychotrine"
"195","salsoline"
"196","tubulosine"
"197","platanionoside A"
"198","platanionoside B"
"199","platanionoside C"
"200","platanionoside D"
"201","platanionoside E"
"202","platanionoside F"
"203","platanionoside G"
"204","platanionoside H"
"205","platanionoside I"
"206","platanionoside J"
"207","albibrissinosides A"
"208","albibrissinosides B"
"209","3-methoxy-4-hydroxy-cinnamic aldehyde"
"210","4-hydroxyacetophen-one"
"211","4-hydroxyl-3,5-dimethoxy-benzaldehyde"
"212","5-hydroxy-7,8,4'-trimethoxy-flavone"
"213","amentoflavone"
"214","p-hydroxybenzaldehyde"
"215","sinapaldehyde"
"216",",5,6-trihydroxy-3,7-dimethoxyxanthone"
"217","1,5-dihydoxyxanthone"
"218","allanxanthone A"
"219","stigmasterol"
"220","stigmasteryl-3-O-beta-D-glucopyranoside"
"221","macrostemonoside O"
"222","macrostemonoside P"
"223","macrostemonoside Q"
"224","macrostemonoside R"
"225","tuberoside D"
"226","tuberoside E"
"227","tuberoside J"
"228","tuberoside K"
"229","tuberoside L"
"230","4,7-dichloro-quinoline"
"231","aloe-emodin"
"232","aloe-emodin"
"233","aloenin"
"234","aloenin"
"235","aloenin B"
"236","aloesaponarin I"
"237","aloesaponarin I"
"238","aloesaponarin II 3-methyl ether"
"239","aloin"
"240","barbaloin"
"241","caffeic acid"
"242","chrysophanein"
"243","chrysophanol"
"244","chrysophanol"
"245","cinnamic acid"
"246","cosmosiin"
"247","emodin"
"248","ethylidene-aloenin"
"249","feralolide"
"250","feralolide"
"251","ferulic acid"
"252","homoplantaginin"
"253","isoorientin"
"254","isovitexin"
"255","isovitexin"
"256","kaempferol"
"257","luteolin 7-glucuronopyranoside"
"258","quercetin "
"259","ziganein"
"260","ziganein"
"261","ziganein-5-methyl ether"
"262","ziganein-5-methyl ether"
"263","Anthraquinons"
"264","alpinoside A"
"265","n-butyl-beta-D-fructopyranoside"
"266","alstilobanine A"
"267","alstilobanine B"
"268","alstilobanine C"
"269","alstilobanine D"
"270","alstilobanine E"
"271","alstiphyllanine A"
"272","alstiphyllanine B"
"273","alstiphyllanine C"
"274","alstiphyllanine D"
"275","alstoniaphylline A"
"276","alstoniaphylline B"
"277","alstoniaphylline C"
"278","alpneumine A"
"279","alpneumine B"
"280","alpneumine C"
"281","alpneumine D"
"282","alpneumine E"
"283","alpneumine F"
"284","alpneumine G"
"285","alpneumine H"
"286","akuammicine N-oxide"
"287","akuammiginone"
"288","echitamidine N-oxide"
"289","echitamidine-N-oxide 19-O-beta-d-glucopyranoside"
"290","echitaminic acid"
"291","N(b)-demethylalstogustine"
"292","N(b)-demethylalstogustine N-oxide"
"293","24-methylenecycloartanol"
"294","3beta-hydroxystigmast-5-en-7-one"
"295","3-O-(6'-O-butyl-beta-D-glucuronopyranosyl)-oleanolic acid-28-O-beta-D-glucopyranosyl ester"
