"","Phytochemical","PlantName","PubMed.Id"
"36","Sesquiterpene lactone","Acanthospermum hispidum",19320966
"52","1,8-cineol","Achillea clavennae",14595583
"53","beta-caryophyllen","Achillea clavennae",14595583
"54","camphor","Achillea clavennae",14595583
"55","linalool","Achillea clavennae",14595583
"56","myrcene","Achillea clavennae",14595583
"73","1,8-cineole","Achillea distans",21815436
"74","alismol","Achillea distans",20432153
"75","alpha-cadinol","Achillea distans",20432153
"76","beta-pinene","Achillea distans",21815436
"77","borneol","Achillea distans",21815436
"78","camphor","Achillea distans",21815436
"79","caryophyllene oxide","Achillea distans",20432153
"80","sabinene","Achillea distans",21815436
"81","tau-cadinol","Achillea distans",20432153
"82","trans-thujone","Achillea distans",21815436
"83","3-non-anol","Achillea fragrantissima",14255131
"84","artemisia alcohol","Achillea fragrantissima",15074599
"85","artemisia ketone","Achillea fragrantissima",15074599
"86","carvacrol","Achillea fragrantissima",14255131
"87","cis-thujone","Achillea fragrantissima",15074599
"88","d-myrcene","Achillea fragrantissima",14255131
"89","ethyl n-amylketone","Achillea fragrantissima",14255131
"90","eugenol","Achillea fragrantissima",14255131
"91","l-linalool","Achillea fragrantissima",14255131
"92","nerol","Achillea fragrantissima",14255131
"93","n-hexen(3)-ol(1)","Achillea fragrantissima",14255131
"94","sabinene","Achillea fragrantissima",14255131
"95","santolina alcohol","Achillea fragrantissima",15074599
"96","trans-thujone","Achillea fragrantissima",15074599
"97","?-pinene","Achillea fragrantissima",14255131
"98","?-terpineol","Achillea fragrantissima",14255131
"175","alkaloids","Aegle marmelos",22536985
"271","alstiphyllanine A","Alstonia macrophylla",19191551
"272","alstiphyllanine B","Alstonia macrophylla",19191551
"273","alstiphyllanine C","Alstonia macrophylla",19191551
"274","alstiphyllanine D","Alstonia macrophylla",19191551
"275","alstoniaphylline A","Alstonia macrophylla",23806072
"276","alstoniaphylline B","Alstonia macrophylla",23806072
"277","alstoniaphylline C","Alstonia macrophylla",23806072
"278","alpneumine A","Alstonia pneumatophora",20576577
"279","alpneumine B","Alstonia pneumatophora",20576577
"280","alpneumine C","Alstonia pneumatophora",20576577
"281","alpneumine D","Alstonia pneumatophora",20576577
"282","alpneumine E","Alstonia pneumatophora",20576577
"283","alpneumine F","Alstonia pneumatophora",20576577
"284","alpneumine G","Alstonia pneumatophora",20576577
"285","alpneumine H","Alstonia pneumatophora",20576577
"331","(-)-epicatechin","Amelanchier alnifolia",22220589
"332","3-glucoside","Amelanchier alnifolia",22220589
"333","chlorogenic acid","Amelanchier alnifolia",22220589
"334","hydroxybenzoic acids","Amelanchier alnifolia",22220589
"335","Quercetin 3-galactoside","Amelanchier alnifolia",22220589
"336","4-vinylguaiacol","Amethystea caerulea",21878001
"337","acetoanisole","Amethystea caerulea",21878001
"338","eugenol","Amethystea caerulea",21878001
"339","linalool","Amethystea caerulea",21878001
"340","morrilol","Amethystea caerulea",21878001
"341","?-caryophyllene","Amethystea caerulea",21878001
"352","alpha-bisabolol","Amomum biflorum",23513745
"353","alpha-humulene","Amomum biflorum",23513745
"354","camphene","Amomum biflorum",23513745
"390","(2R)-5-hydroxy-7,8-dimethoxyflavanone-5-O-beta-D-glucopyranoside","Andrographis paniculata",23678804
"391","12S-hydroxyandrographolide","Andrographis paniculata",16562826
"392","14-deoxy-11, 12-didehydroandrographiside","Andrographis paniculata",17165582
